__id,email,nif_entitat_formaci,codi_municipi,nom_entitat_formaci,nom_municipi,codi_comarca,web,nom_comarca,tel_fon
row-nghs~74uv-yjis,mikel@inkor.es,B75071613,8019,INKOR,BARCELONA,13,www.inkorformacion.com,BARCELONÈS,900905370
row-t2su.ktk9~pfbc,formacio@foment.com,B61420824,8019,FOMENT FORMACIÓ,BARCELONA,13,www.fomentformacio.com,BARCELONÈS,934841232
row-c4ph-7qdx.2khh,formacio@gremi-obres.org,G08531253,8019,GREMI DE CONSTRUCTORS D'OBRES DE BARCELONA I COMARQUES,BARCELONA,13,https://www.gremi-obres.org/formacio/,BARCELONÈS,932659430
row-n65w_wp23-hdhu,sroman@idfo.com,G60189057,17079,IDFO,GIRONA,20,www.idfo.com,GIRONÈS,932689292
row-jmtt.k7iu_m922,sroman@idfo.com,G60189057,17095,IDFO,LLORET DE MAR,34,www.idfo.com,SELVA,932689292
row-y57f.8b7g~9w5v,sroman@idfo.com,G60189057,8113,IDFO,MANRESA,7,www.idfo.com,BAGES,932689292
row-r8hx~id8w~7eti,sroman@idfo.com,G60189057,17095,IDFO,LLORET DE MAR,34,www.idfo.com,SELVA,932689292
row-nfy6_f44r_thp3,comunicacio@gihostaleria.org,G17258864,17147,Federació d'Hostaleria de les comarques de Girona,RIPOLL,31,www.gihostaleria.org,RIPOLLÈS,972224344
row-jm94.jdhg_j94u,sroman@idfo.com,G60189057,17079,IDFO,GIRONA,20,www.idfo.com,GIRONÈS,932689292
row-vz5v~xqvg-bcx6,formacio@formartalent.com,B56635774,8187,AUTOESCOLA L'ASFALT,SABADELL,40,www.lasfalt.com,VALLÈS OCCIDENTAL,692511167
row-n3wn-ztfs-3yv7,fppuerto@ccoo.cat,G61676128,8073,FUNDACIÓ PER A LA FORMACIÓ I L'ESTUDI PACO PUERTO,CORNELLÀ DE LLOBREGAT,11,fundaciopacopuerto.cat,BAIX LLOBREGAT,934812717
row-4dxx_6c9v~mm23,esmemaragda@hotmail.com,B61088159,8096,CF ESTUDI IMATGE SL,GRANOLLERS,41,https://formacionprofesionalstudy.com/,VALLÈS ORIENTAL,695452917
row-6gug-tvms.hr3x,formacio@formartalent.com,B56635774,8187,AUTOESCOLA L'ASFALT,SABADELL,40,www.lasfalt.com,VALLÈS OCCIDENTAL,692511167
row-snvi~4ksu_78kj,msalcedo.bcn@e-gri.com,B09390105,8019,GRI,BARCELONA,13,https://e-gri.com/,BARCELONÈS,931998205
row-dmrh~bjw4.7ajt,formacio@formartalent.com,B56635774,8187,AUTOESCOLA L'ASFALT,SABADELL,40,www.lasfalt.com,VALLÈS OCCIDENTAL,692511167
row-7ecj.e5c3_skbg,formacio@formartalent.com,B56635774,8187,AUTOESCOLA L'ASFALT,SABADELL,40,www.lasfalt.com,VALLÈS OCCIDENTAL,692511167
row-7a7r-6p7x.hx83,formacio@pimec.org,B66350729,8019,AÜRT CONSULTORIA I FORMACIÓ SL,BARCELONA,13,www.pimecformacio.cat,BARCELONÈS,934964500
row-s9ce.cwjq~ztgm,formacio@aeplaneta.es,B67388645,8279,FORMACIÓ I ORIENTACIÓ PLANETA S.L.,TERRASSA,40,https://aeplaneta.es/,VALLÈS OCCIDENTAL,679514394
row-3b42~d8i3-rjnv,formacio@shcformacio.com,B55234140,17164,SH CONCEPT FORMACIÓ S.L,SANT HILARI SACALM,34,www.shcformacio.com,SELVA,672371690
row-dvds~p2gr.ysvj,formacio@shcformacio.com,B55234140,17164,SH CONCEPT FORMACIÓ S.L,SANT HILARI SACALM,34,www.shcformacio.com,SELVA,672371690
row-zk2c.yx2t~rpi3,formacio@gremipa.com,G08510190,17079,GREMI DE FLEQUERS DE LA PROVINCIA DE BARCELONA,GIRONA,20,www.gremipa.com,GIRONÈS,934871818
row-utik~53im~qs8y,INFO@AUTOESCOLESMONTESO.COM,B43431402,43155,AUTOSCOLA MONTESO SL,TORTOSA,9,https://www.autoescolesmonteso.com/,BAIX EBRE,977443525
row-dvgs.2za6_2rc3,formacio@pimec.org,B02714269,8015,TRES PUNTS CONSULTORS SL,BADALONA,13,www.pimecformacio.cat,BARCELONÈS,934964500
row-ftpi~33m4-z27t,formacio@shcformacio.com,B55234140,17164,SH CONCEPT FORMACIÓ S.L,SANT HILARI SACALM,34,www.shcformacio.com,SELVA,672371690
row-7igh_t3f3.2y2m,formacio@formartalent.com,B56635774,8187,AUTOESCOLA L'ASFALT,SABADELL,40,www.lasfalt.com,VALLÈS OCCIDENTAL,692511167
row-fhv5-4yce_53xe,formacio@formartalent.com,B56635774,8187,AUTOESCOLA L'ASFALT,SABADELL,40,www.lasfalt.com,VALLÈS OCCIDENTAL,692511167
row-pyhr.7tnp.r7dk,fcac@fcac.coop,G08859449,8100,Federació de Cooperatives Agràries de Catalunya,GURB,24,www.cooperativesagraries.cat,OSONA,932292018
row-3eir-967a.jwqk,formacio@transformat.cat,B66118290,8279,TRANSFORMA'T,TERRASSA,40,www.transformat.cat,VALLÈS OCCIDENTAL,633829895
row-aht9.322u_jfhk,formacio@transformat.cat,B66118290,8279,TRANSFORMA'T,TERRASSA,40,www.transformat.cat,VALLÈS OCCIDENTAL,633829895
row-8kvz_yd9h.6v6v,sroman@idfo.com,G60189057,17066,IDFO,FIGUERES,2,www.idfo.com,ALT EMPORDÀ,932689292
row-w3pr.yzd2~ngmt,formacion@aeball.net,G08623399,8019,UPMBALL,BARCELONA,13,https://www.aeball.com,BARCELONÈS,933370450
row-npxa~ymre.ic6b,sroman@idfo.com,G60189057,17079,IDFO,GIRONA,20,www.idfo.com,GIRONÈS,932689292
row-firp~aknw.au4u,info@aulaactiva.org,B64064223,8019,AULA ACTIVA FORMACIÓ I SERVEIS SL,BARCELONA,13,www.aulaactiva.org,BARCELONÈS,934815581
row-nrku_hcv8.w942,formacio@pimec.org,G08623209,8113,FUNDACIÓ EMI MANRESA,MANRESA,7,www.pimecformacio.cat,BAGES,934964500
row-mhbu.vck4.5fsj,dpch@femarec.cat,F59197996,8019,FEMAREC,BARCELONA,13,www.femarec.cat,BARCELONÈS,932437272
row-kj75_nz4w~zjse,gonzalo.rodriguez@balmesinnova.com,F08766131,8208,CENTRE D'ESTUDIS JAUME BALMES,SANT ESTEVE SESROVIRES,11,www.balmesinnova.com,BAIX LLOBREGAT,609140649
row-jwpv_u8m7.pdhu,sroman@idfo.com,G60189057,43155,IDFO,TORTOSA,9,www.idfo.com,BAIX EBRE,932689292
row-pwtx_pqcc_5sc6,isabel@talentocorporativo.com,B33872094,8184,DICAMPUS SL,RUBÍ,40,https://www.dicampus.es/,VALLÈS OCCIDENTAL,676555673
row-f3d4-92x7~z7s3,formem@FORMEM.CAT,B42809640,43155,FORMEM,TORTOSA,9,formem.cat,BAIX EBRE,977608050
row-8hue~srng~thpi,britishcentremollerussa2023@gmail.com,B25404468,25137,BRITISH CENTRE FORMACIÓ ACADEMICA SL,MOLLERUSSA,27,BRTISH.ES,PLA D'URGELL,633893337
row-2xv8_fa9j.4pxs,dpch@femarec.cat,F59197996,8019,FEMAREC,BARCELONA,13,www.femarec.cat,BARCELONÈS,932437272
row-k6cp~czjq-7bkn,cursos@criteria.es,B62278783,8019,CRITERIA,BARCELONA,13,https://www.girosformacion.com,BARCELONÈS,932652677
row-rtni-bg2z~8uk3,sroman@idfo.com,G60189057,8279,IDFO,TERRASSA,40,www.idfo.com,VALLÈS OCCIDENTAL,932689292
row-c7vz-xfwg-cvbf,isabel@talentocorporativo.com,B33872094,8184,DICAMPUS SL,RUBÍ,40,https://www.dicampus.es/,VALLÈS OCCIDENTAL,676555673
row-2u9j.4wwi~dr4v,alaitz@laeformacion.net,B20910121,8279,LAE FORMACIÓN PROGRAMADA S.L.,TERRASSA,40,WWW.GRUPOLAE.NET,VALLÈS OCCIDENTAL,651074500
row-g6sf-wg6x-ysgi,alaitz@laeformacion.net,B20910121,8279,LAE FORMACIÓN PROGRAMADA S.L.,TERRASSA,40,WWW.GRUPOLAE.NET,VALLÈS OCCIDENTAL,651074500
row-mqp6~erj5~iu9h,isabel@talentocorporativo.com,B33872094,8184,DICAMPUS SL,RUBÍ,40,https://www.dicampus.es/,VALLÈS OCCIDENTAL,676555673
row-ggh9_azbi-jnb4,formacio@pimec.org,B62765201,43148,PIME Coneixement S.L.,TARRAGONA,36,www.pimecformacio.cat,TARRAGONÈS,934964500
row-9min~wp48.jatn,formacion@aeball.net,G59046193,8019,AEBALL,BARCELONA,13,https://www.aeball.com,BARCELONÈS,933370450
row-6ixq~bhii.z4pz,alaitz@laeformacion.net,B20910121,8279,LAE FORMACIÓN PROGRAMADA S.L.,TERRASSA,40,WWW.GRUPOLAE.NET,VALLÈS OCCIDENTAL,651074500
row-kd4q_92p3.3j78,alaitz@laeformacion.net,B20910121,8279,LAE FORMACIÓN PROGRAMADA S.L.,TERRASSA,40,WWW.GRUPOLAE.NET,VALLÈS OCCIDENTAL,651074500
row-7ydi.qs3u-ap52,alaitz@laeformacion.net,B20910121,8279,LAE FORMACIÓN PROGRAMADA S.L.,TERRASSA,40,WWW.GRUPOLAE.NET,VALLÈS OCCIDENTAL,651074500
row-g9vk_c7rk_hpqt,formacio@grouphm.es,B05356811,8101,Hemif Consulting,HOSPITALET DE LLOBREGAT L',13,.,BARCELONÈS,652677919
row-jght~q9if_bjve,alaitz@laeformacion.net,B20910121,8279,LAE FORMACIÓN PROGRAMADA S.L.,TERRASSA,40,WWW.GRUPOLAE.NET,VALLÈS OCCIDENTAL,651074500
row-xjwt_rhmi_2ehv,isabel@talentocorporativo.com,B33872094,8184,DICAMPUS SL,RUBÍ,40,https://www.dicampus.es/,VALLÈS OCCIDENTAL,676555673
row-p6ea~mr5f_hcqh,alaitz@laeformacion.net,B20910121,8279,LAE FORMACIÓN PROGRAMADA S.L.,TERRASSA,40,WWW.GRUPOLAE.NET,VALLÈS OCCIDENTAL,651074500
row-39mc.uctf~vpus,alaitz@laeformacion.net,B20910121,8279,LAE FORMACIÓN PROGRAMADA S.L.,TERRASSA,40,WWW.GRUPOLAE.NET,VALLÈS OCCIDENTAL,651074500
row-ssub-ff84.jhks,alaitz@laeformacion.net,B20910121,8279,LAE FORMACIÓN PROGRAMADA S.L.,TERRASSA,40,WWW.GRUPOLAE.NET,VALLÈS OCCIDENTAL,651074500
row-p9xg~hbhi.csg8,alaitz@laeformacion.net,B20910121,8279,LAE FORMACIÓN PROGRAMADA S.L.,TERRASSA,40,WWW.GRUPOLAE.NET,VALLÈS OCCIDENTAL,651074500
